N,P,K,temperature,humidity,ph,rainfall,label
38,69,66,20.513913,42.485917,7.58215,444.58632,Bakla
40,62,89,19.4882,36.891148,7.066906,435.361144,Bakla
50,70,65,20.085956,35.966932,7.293807,421.444458,Bakla
50,47,67,21.805993,39.534542,7.650201,440.544145,Bakla
47,50,90,19.883452,41.054909,7.621287,420.29232,Bakla
47,48,81,20.386819,34.305411,6.613645,435.482593,Bakla
50,69,69,21.604716,32.918266,7.482868,446.288481,Bakla
42,70,88,18.833478,37.929126,7.498364,438.928325,Bakla
44,55,78,20.502471,43.997505,6.793842,421.143998,Bakla
41,53,61,19.058585,38.661196,7.663977,410.652581,Bakla
39,64,84,19.320366,38.854269,6.543553,415.598948,Bakla
49,48,66,21.024545,39.917103,7.479298,403.007095,Bakla
49,57,61,20.806867,31.497824,6.805835,417.69146,Bakla
48,48,71,19.319614,38.442382,7.492978,424.394293,Bakla
41,70,73,19.399588,36.406221,6.577832,436.157306,Bakla
34,62,70,18.427526,32.755695,7.056687,449.39023,Bakla
50,59,75,20.621725,41.491014,6.960815,438.155405,Bakla
39,65,61,19.160825,37.266863,7.275061,439.344017,Bakla
46,68,90,18.579321,36.451022,7.709398,412.42117,Bakla
44,59,83,21.267021,34.378406,6.894452,429.960487,Bakla
36,53,84,19.539723,36.663694,6.944699,416.754599,Bakla
36,63,69,21.778547,36.226521,7.615478,403.155857,Bakla
33,50,60,18.15469,40.700834,6.805905,444.437252,Bakla
21,59,32,22.326361,43.75621,7.315705,359.184687,Borulce
35,40,37,20.189709,44.736377,7.238142,447.570125,Borulce
23,42,30,21.06522,49.279988,7.322399,385.008762,Borulce
26,49,37,20.689807,44.563162,6.813599,408.825144,Borulce
29,57,35,22.870292,44.380498,7.005727,409.225365,Borulce
26,45,50,21.569833,49.151333,7.159366,360.125518,Borulce
24,60,49,24.689786,47.000414,6.792845,380.236133,Borulce
19,42,36,23.468924,43.137034,6.214681,432.852184,Borulce
28,41,46,24.633311,47.43863,6.945699,361.182041,Borulce
34,48,33,22.296417,46.392978,6.025159,443.809466,Borulce
16,55,42,21.075652,43.363139,6.004465,413.705815,Borulce
20,40,35,20.494773,42.140827,7.162302,350.448806,Borulce
32,49,42,24.04598,44.453909,6.569852,431.497603,Borulce
25,56,38,24.255382,48.572916,6.910228,352.978421,Borulce
20,60,33,23.708723,48.112148,6.698455,390.889177,Borulce
26,42,41,21.765406,41.663855,7.431893,353.275834,Borulce
34,58,43,23.98964,40.871056,6.561986,381.546904,Borulce
17,45,46,23.035102,49.091526,6.180805,438.284179,Borulce
24,48,49,20.438884,42.148394,7.390696,382.8959,Borulce
35,52,37,22.93156,49.410022,6.70153,420.45329,Borulce
23,55,38,21.50556,43.586985,7.390501,414.087998,Borulce
35,49,48,21.135367,44.093173,6.231063,401.582233,Borulce
32,59,33,23.179148,42.126024,6.220865,377.427346,Borulce
35,40,32,20.213173,46.872064,6.793299,415.930539,Borulce
17,42,39,24.230201,44.795048,6.529797,422.825977,Borulce
23,58,37,22.897765,40.707417,6.569541,375.262512,Borulce
20,57,37,21.935386,48.658935,7.044637,419.510734,Borulce
29,58,47,24.41556,44.250746,6.404394,423.629523,Borulce
15,59,42,21.843801,42.556752,6.392809,440.935479,Borulce
23,60,45,21.838326,44.106661,6.690838,402.491711,Borulce
21,44,44,20.338496,43.52077,7.093156,433.002836,Borulce
21,60,35,23.310122,48.383964,7.236519,389.143409,Borulce
28,43,48,20.731846,42.049869,7.208728,441.222806,Borulce
19,59,42,21.566627,46.402937,6.882717,449.333859,Borulce
20,47,42,22.147975,43.824404,7.06518,384.586382,Borulce
34,60,30,24.2201,41.038356,7.053184,360.203014,Borulce
35,46,35,23.140916,44.521976,7.138738,391.028304,Borulce
16,45,43,21.331395,45.162176,7.432366,380.173682,Borulce
33,46,37,24.646822,46.458415,7.005828,373.277607,Borulce
29,51,36,24.93205,42.394501,6.477872,409.824382,Borulce
15,59,46,20.966551,45.762467,7.365274,397.667016,Borulce
20,56,44,20.617601,43.910004,6.174053,390.560689,Borulce
35,59,45,20.448475,44.383598,6.89762,447.216832,Borulce
28,44,33,21.363437,42.933527,6.804189,382.447305,Borulce
35,47,38,21.067517,45.234021,6.458313,362.173485,Borulce
19,58,44,24.405005,46.512135,7.309814,415.710605,Borulce
24,46,35,23.179694,46.380961,7.363698,417.497147,Borulce
22,49,47,20.45469,45.505156,6.507135,420.985535,Borulce
16,43,40,23.918678,47.32683,6.986003,354.995712,Borulce
30,42,40,22.327457,42.177951,7.181579,378.870767,Borulce
17,44,31,24.336288,46.041528,6.274793,354.963309,Borulce
21,58,50,22.811977,45.831996,6.296536,422.727478,Borulce
15,40,35,23.115928,42.819589,7.457562,426.377613,Borulce
35,48,39,20.004008,46.116115,7.465713,387.630064,Borulce
22,47,39,24.729784,47.853109,7.090877,432.386421,Borulce
31,56,32,22.165939,45.849365,6.39781,439.369797,Borulce
31,52,32,22.606141,42.616435,6.610942,436.326938,Borulce
20,58,47,20.955767,48.511818,6.733323,395.99056,Borulce
27,44,48,22.961038,42.023666,6.611359,440.656623,Borulce
27,58,41,20.337259,40.132739,6.885193,402.27822,Borulce
27,53,33,23.72875,44.523328,7.324002,444.561404,Borulce
25,45,31,21.21017,43.182551,6.303254,399.73626,Borulce
33,49,50,21.7238,48.499384,6.462005,426.953849,Borulce
20,57,34,22.800794,45.702625,6.918403,358.219604,Borulce
16,53,50,24.483456,46.499004,6.255934,388.303158,Borulce
27,53,48,21.921367,47.943606,7.399425,382.00838,Borulce
19,58,50,21.955778,48.991798,7.282047,407.151254,Borulce
20,40,43,21.139404,49.824598,6.812339,440.745619,Borulce
22,48,44,23.12841,43.529244,6.831971,395.903481,Borulce
34,54,50,20.907021,43.198453,6.730376,420.600516,Borulce
29,46,36,22.194972,46.789465,6.089635,371.641197,Borulce
35,54,31,21.912896,49.969507,6.746812,352.266488,Borulce
23,58,39,24.805526,48.20645,7.318757,422.198832,Borulce
22,42,30,22.532041,49.387793,6.199067,399.137311,Borulce
27,60,41,22.54874,43.454898,7.025618,428.18529,Borulce
17,52,36,23.278467,43.659557,7.442052,397.205732,Borulce
29,59,40,24.848927,41.460885,6.900564,430.266522,Borulce
30,55,43,21.978213,42.500231,6.482131,419.559113,Borulce
33,44,41,23.174162,40.55086,6.461399,382.605303,Borulce
30,52,41,24.884462,45.223446,6.708252,362.878296,Borulce
131,82,96,16.444276,64.952023,7.79084,578.465767,Seker_Pancari
100,64,102,17.36411,61.495675,7.955748,546.404133,Seker_Pancari
121,81,121,17.078208,61.640153,6.706348,575.24416,Seker_Pancari
148,63,130,18.621207,61.988206,7.247825,546.190925,Seker_Pancari
138,75,118,16.373003,62.950637,7.350049,570.38646,Seker_Pancari
149,86,120,18.46756,63.51374,7.226611,598.143764,Seker_Pancari
146,89,89,19.276144,64.452292,6.663398,534.809764,Seker_Pancari
126,84,90,19.972661,69.44567,7.563596,526.323353,Seker_Pancari
131,78,109,15.738123,68.837404,6.65661,528.337232,Seker_Pancari
102,76,95,19.349621,68.463765,6.637352,525.576825,Seker_Pancari
100,71,93,16.75053,68.18848,6.907637,599.176682,Seker_Pancari
129,66,119,18.297362,61.244347,6.99356,515.732943,Seker_Pancari
125,74,118,18.122234,62.916519,6.880308,558.136389,Seker_Pancari
149,60,132,19.62862,66.844723,7.23654,502.252122,Seker_Pancari
105,63,137,17.793912,64.164134,7.053144,538.757138,Seker_Pancari
133,81,119,17.398217,68.554845,7.483942,514.451226,Seker_Pancari
125,90,126,19.36912,64.458773,7.718883,593.889853,Seker_Pancari
108,61,104,19.667238,64.200656,7.445439,538.466214,Seker_Pancari
102,83,135,15.143026,62.642741,7.312753,585.288518,Seker_Pancari
130,63,105,16.8495,63.19288,7.677346,588.225598,Seker_Pancari
140,68,123,16.282221,60.024249,7.743748,539.011737,Seker_Pancari
123,82,118,18.153354,68.932128,6.620359,544.343214,Seker_Pancari
123,60,80,19.058085,68.26516,7.015509,555.356916,Seker_Pancari
120,61,116,18.051976,61.534324,6.994285,552.011368,Seker_Pancari
109,76,113,17.248044,69.174122,7.048558,587.278737,Seker_Pancari
103,78,116,15.197752,64.118432,7.872186,578.359906,Seker_Pancari
111,76,131,15.981148,66.990157,6.820785,509.529089,Seker_Pancari
131,79,83,16.737008,67.064695,7.668437,506.554349,Seker_Pancari
128,83,138,15.337782,64.575575,6.715816,501.606188,Seker_Pancari
100,89,95,16.684231,68.682371,6.604848,530.064684,Seker_Pancari
130,65,135,16.383384,69.409747,6.937832,587.229385,Seker_Pancari
139,83,105,18.13414,62.391819,6.814933,533.505745,Seker_Pancari
127,85,139,18.191087,68.950175,7.298376,585.041646,Seker_Pancari
117,74,106,16.539563,66.671938,7.114334,541.395203,Seker_Pancari
101,61,116,17.611685,64.818809,6.918586,510.921576,Seker_Pancari
133,80,133,15.429489,67.889058,7.972533,581.673375,Seker_Pancari
139,60,108,16.557556,62.158891,7.394004,527.20934,Seker_Pancari
134,74,83,15.261609,64.956037,7.717582,528.42941,Seker_Pancari
148,77,131,18.233492,63.990359,6.91447,587.910371,Seker_Pancari
134,64,90,18.043779,62.110753,6.505562,535.759791,Seker_Pancari
117,76,99,15.884875,64.357712,6.808401,522.413051,Seker_Pancari
111,88,131,19.436149,60.610977,7.639511,508.611593,Seker_Pancari
144,86,82,19.772529,61.405628,7.777464,500.878668,Seker_Pancari
142,74,125,17.974173,60.399498,7.870546,560.745793,Seker_Pancari
149,60,99,15.65677,64.885478,7.346722,572.888374,Seker_Pancari
117,80,107,18.541241,62.005284,6.5203,543.519415,Seker_Pancari
106,90,123,19.201951,60.895497,7.678628,594.243744,Seker_Pancari
148,78,107,16.428417,63.759304,7.044849,565.116176,Seker_Pancari
143,78,97,16.45369,64.862542,7.797548,591.811416,Seker_Pancari
142,74,128,15.855743,66.608681,6.694381,598.086549,Seker_Pancari
135,68,92,19.741789,63.978975,7.490917,559.517509,Seker_Pancari
105,81,128,17.831398,60.10644,6.847354,502.167255,Seker_Pancari
123,87,139,15.849908,68.820754,7.799143,521.968346,Seker_Pancari
108,73,109,17.616117,66.237891,7.373196,575.456584,Seker_Pancari
129,73,101,19.043611,60.020339,7.959022,598.789561,Seker_Pancari
114,77,84,15.390662,65.536388,6.863397,560.733281,Seker_Pancari
105,62,115,17.136981,61.932674,7.127097,532.399012,Seker_Pancari
100,90,81,15.354303,63.751378,7.960594,501.319192,Seker_Pancari
131,67,114,19.600378,63.580242,7.033501,551.784055,Seker_Pancari
109,65,90,15.708715,65.695014,7.956067,558.953538,Seker_Pancari
130,76,127,19.483231,63.320892,7.32552,571.30531,Seker_Pancari
113,85,80,19.536396,64.621273,6.995189,581.904714,Seker_Pancari
122,84,96,18.902586,60.198189,7.263905,512.103393,Seker_Pancari
138,68,114,15.061501,69.785174,6.821854,503.219573,Seker_Pancari
145,68,98,17.484192,67.121894,6.742317,503.002353,Seker_Pancari
141,86,81,19.449736,60.21518,7.619326,552.714842,Seker_Pancari
128,80,102,18.883738,60.116846,6.520959,546.442448,Seker_Pancari
150,77,119,15.88311,68.934052,6.896432,595.545415,Seker_Pancari
149,70,90,16.637776,65.322282,7.140823,547.275548,Seker_Pancari
106,60,137,16.617894,67.875919,7.168332,536.539204,Seker_Pancari
121,67,138,18.340207,67.20157,7.013091,578.958268,Seker_Pancari
115,61,139,18.246549,61.625666,6.759701,569.300636,Seker_Pancari
149,72,84,16.618175,66.699475,7.511299,578.854722,Seker_Pancari
102,64,116,18.446837,66.675917,6.861496,566.164312,Seker_Pancari
145,76,87,18.219578,64.821443,6.563968,556.729471,Seker_Pancari
114,83,98,15.991138,66.734436,7.049265,537.891073,Seker_Pancari
130,61,124,18.126929,61.367326,7.97422,516.749984,Seker_Pancari
119,77,93,18.643073,66.274038,7.680865,566.210228,Seker_Pancari
140,86,114,18.446833,67.133727,6.953852,537.821698,Seker_Pancari
101,76,94,17.830656,62.858984,6.757356,505.83936,Seker_Pancari
43,49,90,19.914816,58.050618,5.906772,422.911303,Tutun
45,36,112,23.173501,61.515397,5.882232,442.016546,Tutun
47,48,118,23.287643,59.778061,6.108475,475.667463,Tutun
53,40,95,19.267856,60.608832,6.170308,408.31014,Tutun
40,34,72,20.515413,55.249864,5.811536,425.071447,Tutun
40,37,80,20.190534,57.795079,6.379363,489.88833,Tutun
48,49,119,22.106351,56.360003,6.116859,495.103167,Tutun
50,37,79,22.988226,60.627418,6.451394,476.072269,Tutun
42,35,88,20.767125,57.267701,6.405908,460.607833,Tutun
49,49,73,24.837049,56.404408,6.107131,425.652255,Tutun
54,39,98,22.886277,56.229844,6.072167,405.132422,Tutun
48,46,96,20.953106,63.589565,5.917042,420.664047,Tutun
42,38,105,24.035089,60.955005,6.063241,495.724215,Tutun
51,43,86,24.473941,59.599951,5.963474,416.765523,Tutun
44,34,96,21.12997,56.598384,5.806236,467.462198,Tutun
53,34,75,20.649809,62.302752,5.907194,499.777298,Tutun
42,37,102,23.589068,63.571726,6.176843,431.704014,Tutun
59,42,87,20.533603,55.250542,6.124983,491.103541,Tutun
40,36,105,22.569761,60.369949,6.137036,460.363568,Tutun
49,37,85,23.214875,63.767677,6.482088,474.517127,Tutun
45,43,114,24.251078,62.825534,6.10353,479.96743,Tutun
48,40,91,20.932362,64.58531,6.142445,474.369621,Tutun
58,41,73,22.002141,61.448945,6.025338,462.037467,Tutun
50,40,101,22.508642,60.975312,6.279478,481.551376,Tutun
42,50,102,23.793428,61.531962,6.486153,430.406756,Tutun
43,43,118,18.38339,60.147637,6.290583,413.996724,Tutun
54,44,102,18.10124,57.396215,6.484393,440.339017,Tutun
45,32,111,19.86945,64.26887,5.949111,407.01812,Tutun
40,37,84,23.930894,64.848329,5.906411,405.679103,Tutun
57,43,90,21.307897,63.05324,6.308556,460.800303,Tutun
54,41,90,24.74728,62.422239,6.066143,423.552812,Tutun
51,42,79,22.412426,63.831958,6.215388,412.235887,Tutun
60,32,94,21.384112,56.910586,6.157783,482.788895,Tutun
57,30,101,19.690229,57.327378,6.47443,440.778767,Tutun
56,31,96,22.365643,55.34598,6.483437,438.518047,Tutun
52,30,116,23.302635,60.59853,6.004326,441.980197,Tutun
40,45,75,23.632942,60.556106,6.381556,400.228422,Tutun
41,31,109,22.708992,61.389273,6.04534,406.055175,Tutun
52,32,83,18.632898,60.201038,5.941445,480.789447,Tutun
49,41,88,20.402032,58.231844,6.396012,447.570825,Tutun
45,37,93,19.461636,62.940617,5.880523,419.386538,Tutun
48,49,107,21.959776,61.50939,5.900756,437.878568,Tutun
56,31,110,24.013018,64.971061,5.835752,482.729846,Tutun
50,31,77,22.87617,61.300979,6.433807,478.392654,Tutun
52,34,72,21.190976,60.924984,5.881321,458.56134,Tutun
56,48,114,20.98798,63.756647,6.095861,484.368171,Tutun
55,41,114,18.760438,55.182688,6.107642,424.72439,Tutun
52,38,73,18.698349,63.115298,6.141515,417.157932,Tutun
59,48,80,21.366852,58.728657,6.384803,476.190961,Tutun
58,46,112,24.292962,63.879748,6.397019,415.056743,Tutun
46,42,85,22.26939,59.542824,6.004165,442.407582,Tutun
48,34,117,20.747483,62.186966,6.2432,440.679987,Tutun
54,42,89,21.160015,64.615973,6.478784,434.550147,Tutun
44,38,99,20.845955,58.751462,6.030752,485.295315,Tutun
60,44,112,23.611242,61.746952,6.476963,470.859681,Tutun
46,44,84,19.962092,61.144177,6.271432,421.526368,Tutun
56,35,73,22.993477,63.65971,5.881129,462.223687,Tutun
48,41,107,21.605093,63.771412,6.401361,477.479248,Tutun
43,32,112,22.862218,57.026923,5.917941,485.628387,Tutun
59,42,120,24.773898,63.929299,5.985056,404.591759,Tutun
53,32,94,19.94717,58.677328,6.296439,421.976431,Tutun
42,36,71,24.572241,64.71504,5.885576,403.110437,Tutun
45,42,99,24.805681,57.469859,5.893804,453.996159,Tutun
47,35,105,20.730418,57.858997,6.123979,418.941683,Tutun
58,36,101,21.256202,58.080836,6.117598,418.221177,Tutun
48,36,78,18.352195,55.316462,6.040299,423.583569,Tutun
53,38,96,21.091203,62.940365,6.038551,425.452617,Tutun
42,48,88,19.605348,57.019214,6.240778,449.630089,Tutun
45,42,108,21.521956,59.048125,6.126866,465.047,Tutun
46,46,81,22.802244,55.296958,6.304786,494.10673,Tutun
59,36,101,23.390993,59.707371,5.875004,482.729678,Tutun
60,33,106,22.01984,59.901697,5.808956,407.264157,Tutun
46,49,110,20.594452,55.646341,6.381627,497.605899,Tutun
58,37,118,19.834862,64.132199,6.208585,469.641331,Tutun
46,41,72,22.301764,61.769184,5.8615,411.015417,Tutun
51,50,93,24.968965,56.949128,6.443727,488.515574,Tutun
47,33,75,18.271174,57.983625,6.340844,450.633236,Tutun
47,47,90,22.825233,60.130096,6.358263,448.805303,Tutun
48,50,76,22.651794,55.892089,6.194609,411.363674,Tutun
46,31,118,24.103229,62.822785,6.241478,471.239868,Tutun
99,43,68,21.490892,64.522419,6.625537,521.735206,Kenevir
98,59,63,20.147321,62.298707,7.004726,492.63271,Kenevir
95,55,65,19.905555,63.537004,7.464726,538.267612,Kenevir
64,40,84,19.99594,61.610684,6.892984,522.720336,Kenevir
88,40,60,17.439802,61.320553,6.109518,453.00069,Kenevir
81,42,75,20.352817,61.066332,6.676176,450.449979,Kenevir
88,52,67,18.535358,64.644668,6.073567,450.332025,Kenevir
89,42,60,21.4863,63.419587,7.452235,460.850789,Kenevir
71,43,83,18.562432,61.317034,6.610271,515.044115,Kenevir
86,42,71,20.576823,65.835861,6.502848,502.72788,Kenevir
83,41,65,18.976178,60.233542,7.09178,454.031987,Kenevir
83,45,84,21.669822,60.017481,6.610271,524.369027,Kenevir
73,40,89,18.829317,60.460452,6.675534,452.302637,Kenevir
98,46,80,19.23685,61.301833,6.229168,510.593938,Kenevir
83,58,90,19.750264,61.714249,7.035944,536.085851,Kenevir
99,43,66,20.652773,65.133666,6.233726,521.871252,Kenevir
91,49,75,17.151023,67.430182,6.066578,463.303358,Kenevir
89,52,64,18.136824,61.736981,7.122666,478.756409,Kenevir
65,53,84,21.51143,64.869482,6.041323,487.144412,Kenevir
70,52,78,20.348116,69.179256,6.80911,475.306665,Kenevir
94,57,83,17.282448,66.82605,6.708699,522.628087,Kenevir
81,52,64,18.161014,69.076244,6.171401,513.845504,Kenevir
67,45,63,20.296998,64.311934,7.11649,481.361664,Kenevir
97,40,89,17.59412,67.985837,7.484807,455.385328,Kenevir
97,49,75,19.223913,67.370346,6.509107,520.850514,Kenevir
98,58,72,21.659724,68.993434,7.196906,512.008666,Kenevir
83,40,86,20.213373,62.750155,6.043037,540.935708,Kenevir
61,51,73,20.767514,64.487802,6.174055,535.580198,Kenevir
66,49,75,19.588514,60.304341,6.634407,475.105316,Kenevir
67,60,84,17.619409,64.124376,7.398141,475.829664,Kenevir
71,49,75,19.473229,61.937079,7.430346,537.759959,Kenevir
79,57,69,21.640804,63.299032,7.47601,480.736662,Kenevir
93,55,87,21.08193,65.039988,6.586766,505.338445,Kenevir
63,49,85,18.092423,62.060998,7.187958,482.466419,Kenevir
99,47,75,20.409634,69.741079,6.94594,486.725314,Kenevir
75,40,86,18.105936,67.760558,6.091319,471.997866,Kenevir
64,48,65,19.806286,62.805437,6.156148,516.176793,Kenevir
89,58,67,18.405301,68.447277,6.599385,486.294505,Kenevir
74,46,87,21.633265,61.709153,7.405212,504.022394,Kenevir
63,60,82,20.684292,62.900342,6.905873,535.38769,Kenevir
81,55,81,19.051637,69.749739,6.916091,511.734121,Kenevir
90,48,90,18.791461,66.875057,7.311666,503.535807,Kenevir
87,56,70,20.165013,69.065593,6.605393,464.010341,Kenevir
73,59,66,20.253956,62.198352,6.221648,504.181065,Kenevir
64,51,82,20.995509,67.426122,7.135186,548.098962,Kenevir
88,50,65,21.909407,69.459577,7.179917,488.588415,Kenevir
69,59,61,20.708094,65.256332,6.609133,547.452306,Kenevir
79,42,89,18.674387,69.348094,6.240545,547.915999,Kenevir
60,41,89,19.186482,67.420499,7.350037,509.557764,Kenevir
60,40,63,19.897991,63.767462,6.211834,502.913919,Kenevir
97,40,74,18.091205,66.094945,7.336712,523.914292,Kenevir
66,60,89,20.778704,63.998272,7.266151,500.617386,Kenevir
95,49,76,21.655315,66.396886,6.442614,503.616261,Kenevir
76,51,83,21.371605,63.478483,6.327826,477.53515,Kenevir
75,54,60,20.836372,69.192688,6.852915,514.959322,Kenevir
80,52,88,20.880544,62.660517,7.368701,505.403125,Kenevir
68,60,67,19.207781,68.682279,6.883114,538.095276,Kenevir
73,40,65,18.65026,64.638883,7.425655,518.37705,Kenevir
72,53,85,17.502017,61.985078,6.349412,492.476508,Kenevir
71,52,81,21.891852,67.246597,6.080991,473.800827,Kenevir
71,47,81,18.099175,63.027338,6.826974,533.449058,Kenevir
60,46,83,21.801701,64.670542,7.054194,497.584618,Kenevir
73,48,77,17.432941,61.878092,7.396223,545.876746,Kenevir
79,53,66,21.330593,60.123084,7.468982,451.962256,Kenevir
89,50,89,17.986709,60.661256,7.217744,512.943219,Kenevir
78,52,73,17.560766,66.021345,6.726251,482.985818,Kenevir
83,45,68,17.962012,65.165456,7.21045,484.173892,Kenevir
78,57,73,17.451308,68.654799,6.754713,496.319723,Kenevir
96,48,87,20.854054,64.081863,7.120103,455.892762,Kenevir
90,60,86,19.639724,63.562568,6.689775,476.246252,Kenevir
83,52,83,18.588055,67.459263,6.275448,532.782847,Kenevir
78,40,86,20.105096,69.854792,6.453661,465.33716,Kenevir
92,52,61,19.137378,62.809583,6.112161,517.731486,Kenevir
80,56,73,18.458573,69.616185,6.986258,466.917049,Kenevir
98,51,72,19.967441,65.469522,6.295192,470.754862,Kenevir
81,52,64,20.135685,61.14506,6.388227,456.697974,Kenevir
99,58,66,21.220078,63.45608,7.159552,481.13247,Kenevir
81,59,84,18.339994,61.617719,6.215064,457.786754,Kenevir
70,56,65,20.047957,62.416152,6.530769,459.92612,Kenevir
76,50,82,17.830905,63.832295,6.668939,543.441599,Kenevir
44,44,50,19.019969,50.44513,6.427398,475.366787,Keten
47,37,64,19.481488,54.548357,6.816286,476.2736,Keten
63,36,62,19.011216,53.662748,6.632771,423.89038,Keten
42,47,48,18.871161,52.816843,6.376131,471.162411,Keten
56,43,57,16.30265,52.952939,6.077154,469.748184,Keten
49,51,50,16.032608,58.07143,6.182312,439.153869,Keten
40,41,48,16.738439,52.832516,6.750231,413.828467,Keten
43,39,66,19.534334,59.877683,6.157209,443.398347,Keten
59,55,73,16.716065,58.309635,6.132283,431.352814,Keten
60,42,48,18.925097,50.608486,6.772665,408.625798,Keten
51,45,57,17.931749,50.259168,6.031192,416.725588,Keten
59,52,71,16.530924,58.53686,6.8726,445.82207,Keten
48,50,69,18.662497,54.778233,6.611839,451.439521,Keten
69,43,50,17.99546,58.607513,6.638824,487.196505,Keten
53,41,61,17.198214,59.329109,6.43505,485.846104,Keten
49,52,68,17.431259,50.908552,6.238255,422.584875,Keten
54,42,60,18.390391,59.026319,6.809114,477.934648,Keten
56,55,53,16.262864,50.004524,6.761374,478.704969,Keten
60,51,61,19.681414,59.52372,6.993182,477.39332,Keten
60,48,63,18.190877,55.073434,6.502809,462.387417,Keten
64,53,52,18.307051,52.179855,6.054007,499.954867,Keten
64,41,54,19.043758,59.260784,6.845303,417.972711,Keten
67,37,46,16.816438,54.046941,6.118113,463.280429,Keten
52,36,60,19.150012,59.382142,6.943042,453.609145,Keten
64,41,55,19.281159,51.020483,6.152929,497.406109,Keten
59,47,49,19.674965,55.746371,6.751743,489.295821,Keten
54,47,53,16.45783,51.298405,6.273055,468.850863,Keten
68,51,62,16.521047,50.559655,6.142597,432.346228,Keten
61,42,68,18.787666,55.995711,6.754588,416.075308,Keten
69,50,63,17.708291,56.010133,6.039598,441.894726,Keten
69,52,66,18.066618,51.250329,6.718193,447.77175,Keten
66,36,65,17.47185,53.566805,6.775283,425.777355,Keten
60,42,70,18.764582,54.896172,6.947776,490.175745,Keten
62,49,75,19.02406,57.034321,6.968165,438.733131,Keten
59,37,70,18.332064,55.36206,6.569595,469.923568,Keten
53,38,46,16.822617,54.384406,6.914375,463.511917,Keten
48,48,47,17.773052,58.378298,6.937124,492.901157,Keten
50,55,65,18.059228,54.966918,6.030265,471.590167,Keten
43,53,68,19.376833,57.617445,6.047215,463.767577,Keten
55,51,58,16.376119,58.9072,6.673845,404.571551,Keten
64,48,51,17.229364,57.20402,6.73239,498.893478,Keten
45,44,65,16.917508,51.759026,6.583427,457.394925,Keten
60,38,59,18.865021,58.672682,6.807983,442.055801,Keten
40,42,51,18.594087,55.251432,6.412243,463.470778,Keten
40,55,74,17.966521,53.615944,6.291528,490.37538,Keten
56,36,71,19.742151,59.713095,6.375666,470.723239,Keten
66,54,73,16.251557,56.335335,6.868992,407.423703,Keten
52,43,68,18.424653,52.301776,6.63538,445.98841,Keten
53,54,55,17.443821,55.050276,6.3682,423.210906,Keten
53,49,68,17.269458,57.453981,6.571678,465.293653,Keten
45,55,71,19.501969,58.460413,6.461028,406.453658,Keten
50,45,54,16.385426,53.653051,6.06752,425.701667,Keten
63,53,68,16.669598,50.954231,6.250353,468.184709,Keten
49,35,47,16.62206,52.814664,6.075435,410.744279,Keten
69,46,67,19.155509,54.732142,6.012832,424.087276,Keten
66,42,58,16.847181,54.994229,6.382413,494.67731,Keten
61,54,65,16.55944,56.365425,6.610503,454.98409,Keten
53,49,67,19.336954,52.883706,6.675063,469.193401,Keten
40,47,45,18.325504,57.535267,6.026695,438.423625,Keten
57,44,67,17.804073,50.666483,6.407708,480.932156,Keten
61,52,63,18.829934,59.762978,6.183569,455.730824,Keten
68,47,70,17.761008,59.656867,6.096328,470.09674,Keten
53,52,72,19.896461,52.599611,6.062498,496.887557,Keten
49,50,62,16.281598,52.700025,6.04077,428.328784,Keten
46,47,53,16.026955,53.263816,6.815135,476.102337,Keten
59,41,58,16.058516,55.000428,6.438946,496.581455,Keten
56,55,49,16.680852,50.703613,6.707115,466.559815,Keten
56,44,63,17.479749,54.633294,6.503404,452.755824,Keten
68,48,74,18.31757,56.742373,6.306869,453.905706,Keten
54,36,50,19.497822,55.004444,6.23356,479.826315,Keten
50,50,70,18.585101,50.434938,6.418527,449.721747,Keten
56,40,57,16.143829,52.421733,6.899404,462.568863,Keten
69,47,61,16.173232,56.706292,6.250624,423.858508,Keten
43,35,56,19.734604,58.485616,6.196922,494.94363,Keten
52,55,59,16.002017,53.178864,6.201845,419.291581,Keten
41,47,46,16.68895,53.664054,6.009617,454.07527,Keten
62,39,75,18.895414,55.358523,6.670615,400.687095,Keten
68,55,54,18.443668,57.998341,6.653253,416.197022,Keten
56,51,52,19.569853,50.341174,6.053698,472.2242,Keten
56,52,69,19.341964,56.163713,6.877966,469.788177,Keten
118,43,90,23.747567,59.023664,6.195886,533.930801,Kendir
119,45,91,18.593662,68.624693,6.137704,499.135097,Kendir
116,70,82,19.16506,58.558596,6.612164,528.07742,Kendir
111,42,71,21.203966,56.145577,6.366988,464.091118,Kendir
108,67,64,22.356883,58.208132,6.338994,483.859476,Kendir
90,49,82,19.475209,59.342038,6.62655,492.788338,Kendir
102,46,94,23.817036,64.303724,6.983024,419.135256,Kendir
114,63,99,20.540989,62.929093,6.354054,479.052479,Kendir
103,60,86,19.039461,62.356957,6.780482,454.797315,Kendir
118,51,99,21.723048,62.204488,6.262321,520.842745,Kendir
93,69,78,18.819533,65.983691,6.513133,424.10667,Kendir
118,52,96,20.157917,55.110648,6.602189,534.943038,Kendir
115,51,79,18.049442,58.897827,6.858484,499.187924,Kendir
102,40,95,20.017605,57.69729,6.042684,415.434432,Kendir
101,43,82,21.128641,65.718898,6.106422,479.362178,Kendir
119,46,77,18.402256,57.313142,6.193037,457.253584,Kendir
106,63,96,22.59782,65.555532,6.000536,531.892981,Kendir
